Date;Open;High;Low;Close*;Adj Close**;Volume
Feb 25, 2022;4.5730;4.7160;4.4170;4.4700;4.4700;184,107
Feb 24, 2022;4.6030;4.9400;4.2930;4.5680;4.5680;184,107
Feb 23, 2022;4.5040;4.7040;4.4520;4.6230;4.6230;47,18
Feb 22, 2022;4.5940;4.8610;4.4480;4.4980;4.4980;42,641
Feb 18, 2022;4.5170;4.6540;4.3710;4.4310;4.4310;73,219
Feb 17, 2022;4.6420;4.7930;4.4020;4.4860;4.4860;117,789
Feb 16, 2022;4.3930;4.7400;4.3700;4.7170;4.7170;155,48
Feb 15, 2022;4.1830;4.4280;4.1570;4.3060;4.3060;141,954
Feb 14, 2022;4.1030;4.2290;4.0400;4.1950;4.1950;121,204
Feb 11, 2022;3.9440;4.0560;3.8760;3.9410;3.9410;177,373
Feb 10, 2022;4.0350;4.0680;3.8820;3.9590;3.9590;141,74
Feb 09, 2022;4.2110;4.2590;3.9830;4.0090;4.0090;154,599
Feb 08, 2022;4.2760;4.3810;4.1730;4.2480;4.2480;154,444
Feb 07, 2022;4.3840;4.4680;4.1200;4.2320;4.2320;192,859
Feb 04, 2022;4.9290;5.0870;4.4870;4.5720;4.5720;152,119
Feb 03, 2022;5.4200;5.4540;4.8160;4.8880;4.8880;205,841
Feb 02, 2022;4.8930;5.5720;4.8570;5.5010;5.5010;305,898
Feb 01, 2022;4.9210;4.9740;4.6200;4.7510;4.7510;140,785
Jan 31, 2022;4.8670;5.0570;4.6950;4.8740;4.8740;156,746
Jan 28, 2022;4.3420;4.8760;4.2860;4.6390;4.6390;263,418
Jan 27, 2022;4.2300;7.3460;4.2300;6.2650;6.2650;193,252
Jan 26, 2022;4.0400;4.3900;4.0110;4.2770;4.2770;44,321
Jan 25, 2022;3.9590;4.0790;3.8890;4.0530;4.0530;23,443
Jan 24, 2022;3.9150;4.0680;3.8760;4.0270;4.0270;47,1
Jan 21, 2022;3.8380;4.0440;3.8330;3.9990;3.9990;70,256
Jan 20, 2022;4.0150;4.0370;3.7810;3.8020;3.8020;104,199
Jan 19, 2022;4.3270;4.3850;4.0100;4.0310;4.0310;116,542
Jan 18, 2022;4.3560;4.3900;4.2160;4.2830;4.2830;119,454
Jan 14, 2022;4.2630;4.3050;4.0970;4.2620;4.2620;108,856
Jan 13, 2022;4.7910;4.8440;4.2450;4.2700;4.2700;221,612
Jan 12, 2022;4.2250;4.8790;4.1860;4.8570;4.8570;217,499
Jan 11, 2022;4.1190;4.2610;4.0070;4.2490;4.2490;121,623
Jan 10, 2022;4.1440;4.2130;3.9770;4.0790;4.0790;177,628
Jan 07, 2022;3.8600;3.9800;3.8000;3.9160;3.9160;127,012
Jan 06, 2022;3.8420;3.9310;3.8010;3.8120;3.8120;116,579
Jan 05, 2022;3.7470;3.8970;3.7170;3.8820;3.8820;96,811
Jan 04, 2022;3.8170;3.9440;3.7090;3.7170;3.7170;133,394
Jan 03, 2022;3.7020;3.8580;3.6380;3.8150;3.8150;99,069
Dec 31, 2021;3.5890;3.7940;3.5720;3.7300;3.7300;93,098
Dec 30, 2021;3.8530;3.9660;3.5360;3.5610;3.5610;124,667
Dec 29, 2021;4.0800;4.2610;3.9050;4.0240;4.0240;141,906
Dec 28, 2021;4.0650;4.1540;3.9550;4.0550;4.0550;35,643
Dec 27, 2021;3.9580;4.0870;3.7670;4.0600;4.0600;38,911
Dec 23, 2021;3.9700;4.0060;3.5990;3.7310;3.7310;82,233
Dec 22, 2021;3.8700;4.0410;3.8160;3.9760;3.9760;86,619
Dec 21, 2021;3.8400;3.9470;3.7190;3.8690;3.8690;128,438
Dec 20, 2021;3.6450;3.9240;3.6420;3.8340;3.8340;128,582
Dec 17, 2021;3.7830;3.8140;3.6170;3.6900;3.6900;101,625
Dec 16, 2021;3.8140;3.9760;3.7290;3.7660;3.7660;122,851
Dec 15, 2021;3.7850;3.9260;3.7660;3.8020;3.8020;110,311
Dec 14, 2021;3.8020;3.8400;3.6860;3.7470;3.7470;116,826
Dec 13, 2021;3.9750;4.0850;3.7700;3.7940;3.7940;162,586
Dec 10, 2021;3.7980;3.9650;3.7600;3.9250;3.9250;133,283
Dec 09, 2021;3.8180;3.9240;3.7250;3.8140;3.8140;141,107
Dec 08, 2021;3.7340;3.9310;3.7230;3.8150;3.8150;146,872
Dec 07, 2021;3.6800;3.8290;3.6570;3.7080;3.7080;162,973
Dec 06, 2021;3.8260;3.8860;3.6300;3.6570;3.6570;176,715
Dec 03, 2021;4.1050;4.2850;4.0660;4.1320;4.1320;124,765
Dec 02, 2021;4.2650;4.3350;4.0420;4.0560;4.0560;145,506
Dec 01, 2021;4.6060;4.6640;4.2200;4.2580;4.2580;171,938
Nov 30, 2021;4.8730;4.9000;4.4820;4.5670;4.5670;171,822
Nov 29, 2021;5.1990;5.2000;4.8180;4.8540;4.8540;172,471
Nov 26, 2021;5.0250;5.5620;4.9830;5.4470;5.4470;141,778
Nov 25, 2021;5.0250;5.1220;4.9830;5.1190;5.1190;40,864
Nov 24, 2021;4.9920;5.1500;4.8800;5.0680;5.0680;40,864
Nov 23, 2021;4.7960;5.0820;4.7570;4.9670;4.9670;47,431
Nov 22, 2021;4.9100;4.9570;4.6480;4.7890;4.7890;96,186
Nov 19, 2021;4.8950;5.1560;4.8380;5.0650;5.0650;110,058
Nov 18, 2021;4.8960;5.0320;4.8300;4.9020;4.9020;111,027
Nov 17, 2021;5.1590;5.1650;4.8000;4.8160;4.8160;145,607
Nov 16, 2021;5.0580;5.3940;5.0240;5.1770;5.1770;141,14
Nov 15, 2021;4.9030;5.0650;4.7130;5.0170;5.0170;117,666
Nov 12, 2021;5.1290;5.1410;4.7520;4.7910;4.7910;137,099
Nov 11, 2021;4.9170;5.1760;4.8890;5.1490;5.1490;135,953
Nov 10, 2021;4.9620;5.0460;4.7250;4.8800;4.8800;170,388
Nov 09, 2021;5.4100;5.4670;4.9100;4.9790;4.9790;202,741
Nov 08, 2021;5.6050;5.6630;5.3800;5.4270;5.4270;154,221
Nov 04, 2021;5.6700;5.7600;5.5010;5.5160;5.5160;133,344
Nov 03, 2021;5.8600;5.8760;5.5350;5.7160;5.7160;147,035
Nov 02, 2021;5.5530;5.8650;5.4650;5.6700;5.6700;141,498
Nov 01, 2021;5.2200;5.5650;5.2060;5.5420;5.5420;153,757
Oct 31, 2021;5.3100;5.4970;5.1160;5.1860;5.1860;163,258
Oct 28, 2021;5.7320;5.8370;5.4010;5.4260;5.4260;154,41
Oct 27, 2021;6.1380;6.2060;5.7130;5.7820;5.7820;165,632
Oct 26, 2021;5.8580;6.2910;5.7700;6.2020;6.2020;187,421
Oct 25, 2021;5.9590;6.0910;5.5950;5.8820;5.8820;50,705
Oct 24, 2021;5.4680;6.0080;5.4620;5.8980;5.8980;50,883
Oct 21, 2021;5.1960;5.3790;5.1210;5.2800;5.2800;74,365
Oct 20, 2021;5.1510;5.2270;5.0060;5.1150;5.1150;107,707
Oct 19, 2021;5.0660;5.2210;4.9120;5.1700;5.1700;140,026
Oct 18, 2021;4.9850;5.1000;4.8250;5.0880;5.0880;152,725
Oct 17, 2021;5.2990;5.3700;4.9550;4.9890;4.9890;167,896
Oct 14, 2021;5.6410;5.7890;5.4000;5.4100;5.4100;184,583
Oct 13, 2021;5.6760;5.9640;5.6040;5.6870;5.6870;169,162
Oct 12, 2021;5.4560;5.6930;5.3500;5.5900;5.5900;198,786
Oct 11, 2021;5.4080;5.5230;5.1680;5.5050;5.5050;215,447
Oct 10, 2021;5.6950;5.7990;5.3080;5.3450;5.3450;188,699
Oct 07, 2021;5.7610;5.8760;5.5480;5.5650;5.5650;163,349
Oct 06, 2021;5.7100;5.8350;5.3930;5.6770;5.6770;239,503
Oct 05, 2021;6.3210;6.4660;5.6630;5.6750;5.6750;274,653
Oct 04, 2021;5.8300;6.3920;5.7900;6.3120;6.3120;219,522
Oct 03, 2021;5.6280;6.0640;5.6280;5.7660;5.7660;209,582
Sep 30, 2021;5.9750;6.0100;5.5330;5.6190;5.6190;178,941
Sep 29, 2021;5.4570;5.9940;5.3410;5.8670;5.8670;243,24
Sep 28, 2021;5.8570;5.9550;5.4210;5.4770;5.4770;226,344
Sep 27, 2021;5.8000;6.2800;5.6020;5.8410;5.8410;338,968
Sep 26, 2021;5.1910;5.8510;5.1760;5.7060;5.7060;63,065
Sep 23, 2021;5.0360;5.1830;4.9900;5.1400;5.1400;47,436
Sep 22, 2021;4.7580;5.0370;4.7410;4.9760;4.9760;105,201
Sep 21, 2021;4.8110;4.8980;4.7440;4.8050;4.8050;108,777
Sep 20, 2021;4.9620;5.0460;4.7350;4.8050;4.8050;163,097
Sep 19, 2021;5.0150;5.1720;4.9050;4.9850;4.9850;156,87
Sep 16, 2021;5.2700;5.3940;5.0440;5.1050;5.1050;164,579
Sep 15, 2021;5.4100;5.6000;5.2280;5.3350;5.3350;221,139
Sep 14, 2021;5.2800;5.6500;5.2660;5.4600;5.4600;279,117
Sep 13, 2021;5.1990;5.3690;5.1710;5.2600;5.2600;200,943
Sep 12, 2021;4.9450;5.2890;4.8790;5.2310;5.2310;201,77
Sep 09, 2021;5.0020;5.0580;4.9130;4.9380;4.9380;151,036
Sep 08, 2021;4.9170;5.0470;4.8200;5.0310;5.0310;234,848
Sep 07, 2021;4.5980;5.0100;4.5850;4.9140;4.9140;244,742
Sep 06, 2021;4.7100;4.7740;4.5570;4.5680;4.5680;163,663
Sep 02, 2021;4.6270;4.7180;4.5860;4.7120;4.7120;110,953
Sep 01, 2021;4.6390;4.7270;4.5770;4.6410;4.6410;176,845
Aug 31, 2021;4.4030;4.7060;4.3780;4.6150;4.6150;241,159
Aug 30, 2021;4.3120;4.4170;4.2150;4.3770;4.3770;147,419
Aug 29, 2021;4.4990;4.5260;4.2220;4.3050;4.3050;167,098
Aug 26, 2021;4.2020;4.3970;4.1970;4.3700;4.3700;210,959
Aug 25, 2021;3.9170;4.2170;3.8960;4.1840;4.1840;76,86
Aug 24, 2021;3.9000;3.9910;3.8580;3.8970;3.8970;39,372
Aug 23, 2021;3.9290;3.9700;3.8840;3.8960;3.8960;57,633
Aug 22, 2021;3.8620;3.9530;3.8380;3.9450;3.9450;85,497
Aug 19, 2021;3.8630;3.9510;3.8330;3.8510;3.8510;108,518
Aug 18, 2021;3.8260;3.8810;3.7340;3.8300;3.8300;121,756
Aug 17, 2021;3.8260;3.8750;3.7890;3.8520;3.8520;95,512
Aug 16, 2021;3.9380;3.9540;3.8030;3.8370;3.8370;131,222
Aug 15, 2021;3.8330;3.9880;3.8170;3.9460;3.9460;101,673
Aug 12, 2021;3.9150;3.9530;3.8460;3.8610;3.8610;123,011
Aug 11, 2021;4.0570;4.0670;3.9000;3.9330;3.9330;186,993
Aug 10, 2021;4.1100;4.1290;3.9790;4.0590;4.0590;161,899
Aug 09, 2021;4.0390;4.1260;4.0160;4.0890;4.0890;157,513
Aug 08, 2021;4.1680;4.1850;4.0020;4.0600;4.0600;179,998
Aug 05, 2021;4.1590;4.1910;4.0980;4.1400;4.1400;153,153
Aug 04, 2021;4.1520;4.2050;4.1160;4.1400;4.1400;125,228
Aug 03, 2021;4.0660;4.2050;4.0560;4.1580;4.1580;142,586
Aug 02, 2021;3.9590;4.0770;3.9150;4.0270;4.0270;120,858
Aug 01, 2021;3.9730;4.0420;3.9280;3.9350;3.9350;110,953
Jul 29, 2021;4.0510;4.0550;3.8550;3.9140;3.9140;161,866
Jul 28, 2021;3.9410;4.0970;3.9270;4.0590;4.0590;118,446
Jul 27, 2021;3.9470;4.0640;3.8740;4.0440;4.0440;134,73
Jul 26, 2021;4.0950;4.1140;3.9340;3.9710;3.9710;46,964
Jul 25, 2021;4.0250;4.1870;4.0100;4.1020;4.1020;49,424
Jul 22, 2021;3.9960;4.0710;3.9760;4.0600;4.0600;73,87
Jul 21, 2021;3.9220;4.0060;3.8760;4.0030;4.0030;102,159
Jul 20, 2021;3.9270;3.9650;3.8910;3.9590;3.9590;111,932
Jul 19, 2021;3.7720;3.9340;3.7400;3.8760;3.8760;118,404
Jul 18, 2021;3.7030;3.7880;3.6860;3.7790;3.7790;124,163
Jul 15, 2021;3.6170;3.6880;3.5840;3.6740;3.6740;89,982
Jul 14, 2021;3.6700;3.6860;3.6050;3.6140;3.6140;117,594
Jul 13, 2021;3.6940;3.7550;3.6240;3.6600;3.6600;137,354
Jul 12, 2021;3.7440;3.7690;3.6730;3.6960;3.6960;104,041
Jul 11, 2021;3.6730;3.7630;3.6230;3.7490;3.7490;127,071
Jul 08, 2021;3.6860;3.7420;3.6570;3.6740;3.6740;115,679
Jul 07, 2021;3.5790;3.7200;3.5400;3.6880;3.6880;148,554
Jul 06, 2021;3.6730;3.7070;3.5200;3.5960;3.5960;124,615
Jul 05, 2021;3.7040;3.8220;3.6080;3.6370;3.6370;152,231
Jul 01, 2021;3.6630;3.7410;3.5980;3.7000;3.7000;111,464
Jun 30, 2021;3.7460;3.7640;3.5910;3.6610;3.6610;149,422
Jun 29, 2021;3.6510;3.8140;3.6040;3.6500;3.6500;187,005
Jun 28, 2021;3.5830;3.8110;3.5710;3.6300;3.6300;205,478
Jun 27, 2021;3.5020;3.6310;3.4850;3.6170;3.6170;163,568
Jun 24, 2021;3.4250;3.5110;3.4150;3.4960;3.4960;39,078
Jun 23, 2021;3.3160;3.4420;3.3010;3.4180;3.4180;49,402
Jun 22, 2021;3.2570;3.3830;3.2500;3.3330;3.3330;75,394
Jun 21, 2021;3.1980;3.2810;3.1880;3.2580;3.2580;77,088
Jun 20, 2021;3.2060;3.2140;3.1370;3.1910;3.1910;103,038
Jun 17, 2021;3.2180;3.2580;3.1660;3.2150;3.2150;104,935
Jun 16, 2021;3.2440;3.2640;3.1870;3.2530;3.2530;150,052
Jun 15, 2021;3.2220;3.2740;3.1870;3.2510;3.2510;111,287
Jun 14, 2021;3.3510;3.3690;3.2130;3.2400;3.2400;154,414
Jun 13, 2021;3.3150;3.3640;3.2730;3.3520;3.3520;113,12
Jun 10, 2021;3.1530;3.3300;3.1490;3.2960;3.2960;194,488
Jun 09, 2021;3.1540;3.2000;3.1310;3.1490;3.1490;151,565
Jun 08, 2021;3.1280;3.1680;3.1060;3.1290;3.1290;131,717
Jun 07, 2021;3.0920;3.1980;3.0920;3.1280;3.1280;208,576
Jun 06, 2021;3.1090;3.1150;3.0330;3.0700;3.0700;138,844
Jun 03, 2021;3.0630;3.1210;3.0100;3.0970;3.0970;118,036
Jun 02, 2021;3.0730;3.0900;3.0320;3.0410;3.0410;100,521
Jun 01, 2021;3.0930;3.1260;3.0500;3.0750;3.0750;114,984
May 31, 2021;3.0360;3.1500;3.0150;3.1040;3.1040;193,404
May 27, 2021;2.9630;3.0420;2.9550;2.9860;2.9860;110,003
May 26, 2021;3.0210;3.0240;2.9140;2.9580;2.9580;123,065
May 25, 2021;2.9460;3.0280;2.9250;2.9840;2.9840;120,871
May 24, 2021;2.8860;2.9400;2.8730;2.9130;2.9130;38,344
May 23, 2021;2.8500;2.8940;2.8320;2.8860;2.8860;43,513
May 20, 2021;2.9480;2.9830;2.8940;2.9060;2.9060;58,274
May 19, 2021;2.9620;2.9850;2.9070;2.9250;2.9250;85,088
May 18, 2021;3.0090;3.0150;2.9400;2.9640;2.9640;100,252
May 17, 2021;3.1210;3.1350;3.0030;3.0120;3.0120;129,179
May 16, 2021;3.0190;3.1500;3.0190;3.1090;3.1090;169,013
May 13, 2021;2.9770;3.0160;2.9450;2.9610;2.9610;84,204
May 12, 2021;2.9830;2.9980;2.9370;2.9730;2.9730;96,118
May 11, 2021;2.9530;2.9880;2.9260;2.9690;2.9690;90,583
May 10, 2021;2.9270;2.9700;2.8810;2.9550;2.9550;107,218
May 09, 2021;2.9700;2.9710;2.8980;2.9320;2.9320;92,283
May 06, 2021;2.9300;2.9890;2.9050;2.9580;2.9580;102,868
May 05, 2021;2.9480;2.9710;2.9080;2.9280;2.9280;83,813
May 04, 2021;2.9750;2.9910;2.9130;2.9380;2.9380;90,213
May 03, 2021;2.9610;3.0010;2.9320;2.9670;2.9670;102,051
May 02, 2021;2.9380;2.9750;2.9000;2.9660;2.9660;101,038
Apr 29, 2021;2.9060;2.9620;2.8910;2.9310;2.9310;101,566
Apr 28, 2021;2.9510;2.9710;2.8830;2.9110;2.9110;123,113
Apr 27, 2021;2.8730;2.9360;2.8680;2.9250;2.9250;131,127
Apr 26, 2021;2.7860;2.8760;2.7830;2.8730;2.8730;41,283
Apr 25, 2021;2.7100;2.8000;2.7000;2.7900;2.7900;34,308
Apr 22, 2021;2.7470;2.7640;2.7200;2.7300;2.7300;50,602
Apr 21, 2021;2.6960;2.7790;2.6570;2.7490;2.7490;126,33
Apr 20, 2021;2.7240;2.7250;2.6660;2.6920;2.6920;99,733
Apr 19, 2021;2.7410;2.7590;2.7190;2.7270;2.7270;96,682
Apr 18, 2021;2.7070;2.7530;2.6940;2.7490;2.7490;105,072
Apr 15, 2021;2.6630;2.7000;2.6580;2.6800;2.6800;94,879
Apr 14, 2021;2.6170;2.6850;2.5830;2.6580;2.6580;135,586
Apr 13, 2021;2.6200;2.6660;2.6090;2.6180;2.6180;129,02
Apr 12, 2021;2.5540;2.6380;2.5290;2.6190;2.6190;166
Apr 11, 2021;2.5300;2.6050;2.5300;2.5610;2.5610;144,317
Apr 08, 2021;2.5200;2.5520;2.5030;2.5260;2.5260;121,593
Apr 07, 2021;2.5100;2.5350;2.4780;2.5220;2.5220;140,798
Apr 06, 2021;2.4640;2.5460;2.4580;2.5200;2.5200;132,266
Apr 05, 2021;2.5110;2.5680;2.4530;2.4560;2.4560;142,675
Apr 04, 2021;2.5930;2.6160;2.4880;2.5110;2.5110;146,892
Mar 31, 2021;2.6050;2.6630;2.5780;2.6390;2.6390;116,692
Mar 30, 2021;2.6210;2.6560;2.5750;2.6080;2.6080;92,08
Mar 29, 2021;2.6430;2.6880;2.5970;2.6230;2.6230;100,807
Mar 28, 2021;2.5630;2.6070;2.5300;2.5860;2.5860;103,898
Mar 25, 2021;2.5700;2.5870;2.5460;2.5570;2.5570;35,201
Mar 24, 2021;2.5200;2.5850;2.4850;2.5700;2.5700;39,046
Mar 23, 2021;2.5150;2.5450;2.5030;2.5180;2.5180;48,42
Mar 22, 2021;2.5780;2.5810;2.5020;2.5080;2.5080;89,372
Mar 21, 2021;2.5070;2.5920;2.4780;2.5820;2.5820;108,225
Mar 18, 2021;2.4890;2.5540;2.4560;2.5350;2.5350;74,375
Mar 17, 2021;2.5230;2.5260;2.4220;2.4810;2.4810;143,768
Mar 16, 2021;2.5620;2.5650;2.4890;2.5280;2.5280;91,676
Mar 15, 2021;2.4940;2.5660;2.4790;2.5620;2.5620;99,293
Mar 14, 2021;2.5580;2.5610;2.4780;2.4840;2.4840;136,038
Mar 12, 2021;2.6690;2.6930;2.5840;2.6000;2.6000;104,726
Mar 11, 2021;2.6890;2.7140;2.6360;2.6680;2.6680;119,77
Mar 10, 2021;2.6530;2.7070;2.6150;2.6920;2.6920;93,18
Mar 09, 2021;2.6620;2.6900;2.6240;2.6620;2.6620;96,803
Mar 08, 2021;2.6910;2.7340;2.6230;2.6640;2.6640;130,867
Mar 05, 2021;2.7430;2.7550;2.6810;2.7010;2.7010;116,201
Mar 04, 2021;2.8030;2.8260;2.6840;2.7460;2.7460;138,699
Mar 03, 2021;2.8480;2.8870;2.8010;2.8160;2.8160;93,789
Mar 02, 2021;2.7830;2.8570;2.7570;2.8390;2.8390;109,635
Mar 01, 2021;2.8000;2.8090;2.7240;2.7770;2.7770;75,971
Feb 26, 2021;2.7700;2.7860;2.6970;2.7710;2.7710;132,989
